"An error occurred during payment initialization.","An error occurred during payment initialization."
"Authorization token used to verify incoming webhooks from Nets.","Authorization token used to verify incoming webhooks from Nets."
"Authorize and Capture","Authorize and Capture"
"Authorize Only","Authorize Only"
"Cannot capture: Nets payment ID not found.","Cannot capture: Nets payment ID not found."
"Cannot refund: no charge ID found.","Cannot refund: no charge ID found."
"Cannot void: Nets payment ID not found.","Cannot void: Nets payment ID not found."
"Card Number","Card Number"
"Charge ID","Charge ID"
"Checkout Flow","Checkout Flow"
"Click here if you are not redirected automatically.","Click here if you are not redirected automatically."
"Could not retrieve hosted payment page URL.","Could not retrieve hosted payment page URL."
"Could not verify payment status. Please contact support.","Could not verify payment status. Please contact support."
"Debug","Debug"
"Embedded Checkout","Embedded Checkout"
"Enabled","Enabled"
"Environment","Environment"
"Failed to load payment widget. Please refresh the page.","Failed to load payment widget. Please refresh the page."
"Hosted Payment Page","Hosted Payment Page"
"Invalid Nets Easy %s format.","Invalid Nets Easy %s format."
"Live","Live"
"Live Checkout Key","Live Checkout Key"
"Live Secret Key","Live Secret Key"
"Maximum Order Total","Maximum Order Total"
"Merchant Handles Consumer Data","Merchant Handles Consumer Data"
"Minimum Order Total","Minimum Order Total"
"Missing checkout configuration.","Missing checkout configuration."
"Nets Easy","Nets Easy"
"Nets Easy API communication error. Please try again later.","Nets Easy API communication error. Please try again later."
"Nets Easy API error: %s","Nets Easy API error: %s"
"Nets Easy charge created: %s","Nets Easy charge created: %s"
"Nets Easy payment ID is missing. Cannot capture payment.","Nets Easy payment ID is missing. Cannot capture payment."
"Nets Easy refund completed: %s","Nets Easy refund completed: %s"
"Nets Easy reservation created: %s %s","Nets Easy reservation created: %s %s"
"Payment Action","Payment Action"
"Payment cancelled by customer.","Payment cancelled by customer."
"Payment cancelled via Nets Easy webhook.","Payment cancelled via Nets Easy webhook."
"Payment confirmed by Nets Easy webhook.","Payment confirmed by Nets Easy webhook."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment ID","Payment ID"
"Payment Method","Payment Method"
"Payment session could not be initialized.","Payment session could not be initialized."
"Payment Type","Payment Type"
"Payment was cancelled.","Payment was cancelled."
"Payment was not completed. Please try again.","Payment was not completed. Please try again."
"Processing payment...","Processing payment..."
"Redirecting to Nets Easy payment page...","Redirecting to Nets Easy payment page..."
"Send line item details to Nets Easy.","Send line item details to Nets Easy."
"Send Order Items","Send Order Items"
"Sort Order","Sort Order"
"Terms and Conditions URL","Terms and Conditions URL"
"Test","Test"
"Test Checkout Key","Test Checkout Key"
"Test Secret Key","Test Secret Key"
"Title","Title"
"Unable to create payment session.","Unable to create payment session."
"URL to your store's terms and conditions page.","URL to your store's terms and conditions page."
"Webhook Secret","Webhook Secret"
"When enabled, customer data is sent to Nets from the store instead of collected by Nets.","When enabled, customer data is sent to Nets from the store instead of collected by Nets."
"You will be redirected to Nets Easy to complete your payment.","You will be redirected to Nets Easy to complete your payment."
"You will complete your payment on the next page.","You will complete your payment on the next page."
